time_hours,B_magnitude,He,Bz,E1,E2,MPS_LO
6.7417,88.3186,-26.7356,79.4804,12943.1,5727.54,653295
6.7583,88.4352,-26.8389,79.5257,12803.6,5759.19,667823
6.7750,88.5324,-26.8846,79.5819,12784.2,5777.51,646085
6.7917,88.3251,-26.8599,79.3548,12645.1,5777.59,633978
6.8083,88.1131,-26.8575,79.1146,12613.8,5817.67,653943
6.8250,87.9721,-26.8095,78.9674,12533.1,5767.64,597799
6.8417,87.918,-26.8313,78.8773,12522.2,5796.48,649495
6.8583,87.9721,-26.9088,78.8738,12409.3,5828.23,642743
6.8750,87.9228,-26.9278,78.7915,12371.8,5848.79,663944
6.8917,87.8968,-26.8937,78.7588,12243.8,5880.96,656439
6.9083,87.9441,-26.8923,78.786,12264.9,5860.19,621398
6.9250,87.8878,-26.8517,78.729,12159.4,5858.54,662380
6.9417,87.7809,-26.8304,78.6081,12117.6,5901.76,655658
6.9583,87.7915,-26.8632,78.5809,12011.2,5895.98,674572
6.9750,87.8587,-26.9245,78.6007,11916.6,5923.7,649552
6.9917,87.7717,-26.9631,78.4678,11813.5,5907.82,677031
