time (hours),Bz,B magnitude,Solar Wind Speed (km/s),proton density
6.966667,0.999125,3.391438,437.923119,2.833106
6.983333,0.877375,3.238313,438.813741,2.779153
7.000000,0.755625,3.131313,439.137492,2.740075
7.016667,0.032688,3.212063,438.441867,2.802691
7.033333,0.255375,3.144625,438.405306,2.816697
7.050000,0.122313,3.117063,439.219686,2.700941
7.066667,0.388313,3.157687,437.772819,2.729784
7.083333,0.214812,3.144938,437.703430,2.737744
7.100000,1.269312,3.299875,437.950618,2.791244
7.116667,1.041813,3.331687,438.569371,2.846556
7.133333,1.182687,3.272312,438.245617,2.745722
7.150000,1.191000,3.304000,438.429375,2.801841
7.166667,1.270875,3.273250,437.907500,2.784122
7.183333,1.295562,3.393750,438.030323,2.820119
7.200000,1.099063,3.445250,437.720005,2.868606
7.216667,1.153625,3.473313,437.874065,2.845475
7.233333,1.226625,3.470625,436.754069,2.865994
7.250000,1.202188,3.520062,435.380635,2.950416
7.266667,1.362500,3.521750,435.013128,2.930025
7.283333,1.135125,3.553688,435.231561,2.808058
7.300000,1.120250,3.595563,437.775949,2.748761
7.316667,1.068375,3.541750,442.698128,2.719422
7.333333,0.977125,3.474688,445.327808,2.750984
7.350000,0.729938,3.485250,443.447186,2.598275
7.366667,0.891438,3.398062,440.543739,2.484466
7.383333,0.966437,3.420875,441.256248,2.615434
7.400000,1.402187,3.284063,435.244370,2.667559
7.416667,1.312563,2.952250,439.471558,3.071256
7.433333,1.618438,2.947625,440.346559,2.933381
7.450000,1.622938,2.693312,440.692177,2.926209
7.466667,1.787500,2.873688,440.882488,2.953884
7.483333,1.803750,2.719812,440.957489,2.964291
7.500000,2.079750,2.725875,441.473430,3.083550
7.516667,1.846625,2.700000,442.007812,3.079050
7.533333,2.053937,2.791187,442.885624,2.923816
7.550000,2.361688,2.986125,444.158435,2.870759
7.566667,1.652937,3.042563,442.654693,2.890813
7.583333,2.314250,3.214375,438.003115,2.935388
7.600000,2.360563,3.181875,437.649988,2.876544
7.616667,1.793687,3.341062,435.634366,2.828094
7.633333,1.640750,3.259438,436.964686,2.965053
7.650000,1.685687,3.261437,435.005315,2.870647
7.666667,1.494000,3.228625,437.377817,2.841853
7.683333,1.270750,3.188750,437.334687,2.947959
7.700000,1.076188,3.129000,437.475311,2.997006
7.716667,1.049188,3.204750,436.236258,2.974912
7.733333,1.072563,3.228250,436.484694,2.903381
7.750000,0.808500,3.005125,435.781564,3.127353
7.766667,0.733500,3.036563,436.963757,3.119941
7.783333,0.152063,2.680313,437.924688,3.061956
7.800000,0.233250,2.748250,438.302803,3.051591
7.816667,0.164938,2.798063,439.581243,2.963406
7.833333,0.022250,2.917000,438.418737,3.135213
7.850000,-0.049625,2.836563,438.024054,3.136897
